eastings,northings,height
176488.8886,397568.3726,25.047
176489.6417,397568.7122,24.616
176490.8499,397564.2103,25.12
176495.6863,397558.6826,25.653
176497.7728,397550.4158,25.601
176499.8164,397541.4729,25.699
176501.3054,397534.3366,25.674
176503.1683,397527.0094,25.701
176511.1854,397526.4246,26.448
176512.3649,397521.119,26.071
176513.2932,397516.9715,26.504
176516.4411,397509.2766,26.574
176506.8118,397508.0029,26.212
176505.858,397501.0745,25.949
176507.4825,397492.1923,26.101
176509.4568,397486.1955,25.832
176513.2316,397479.1397,25.561
176515.0916,397469.4755,25.483
176516.7921,397458.1307,25.196
176520.881,397453.2643,26.112
176515.6449,397450.8422,25.49
176527.7118,397432.1659,25.918
176527.4268,397425.5083,26.304
176523.2067,397424.433,25.788
176516.999,397425.8218,24.93
176511.4425,397427.8793,25.836
176504.6471,397429.9774,24.774
176503.6019,397425.8022,24.791
176504.6263,397422.695,24.973
176510.6017,397421.1911,25.142
176517.2785,397418.0045,24.933
176525.5511,397422.6593,25.833
176532.2411,397420.1788,25.463
176537.2937,397420.3124,25.245
176545.6157,397422.7244,26.165
176555.2625,397413.7432,24.812
176563.1059,397401.3088,24.515
